"species","mother","Weight_mg","Log_Weight"
"Zoropsis",8,2.717,0.999528330444211
"Zoropsis",8,2.01,0.698134722070984
"Zoropsis",8,2.119,0.750944279286162
"Zoropsis",8,2.063,0.724161234089115
"Zoropsis",8,1.81,0.593326845277734
"Zoropsis",8,1.766,0.568717102181768
"Zoropsis",8,1.891,0.63710578967632
"Zoropsis",8,1.556,0.4421184257562
"Zoropsis",8,1.971,0.678541028170583
"Zoropsis",8,2.114,0.748581887448046
"Zoropsis",8,1.931,0.658038003446377
"Zoropsis",9,3.438,1.23488990696066
"Zoropsis",9,1.679,0.518198378095404
"Zoropsis",9,2.035,0.710495818894558
"Zoropsis",9,2.174,0.776568788699018
"Zoropsis",9,2.003,0.694646056683681
"Zoropsis",9,2.221,0.79795754491229
"Zoropsis",9,2.199,0.788002711572624
"Zoropsis",9,2.05,0.717839793150317
"Zoropsis",9,2.315,0.839409687538197
"Zoropsis",9,2.244,0.80825998766045
"Zoropsis",10,3.179,1.15656668192867
"Zoropsis",10,1.956,0.670901571612626
"Zoropsis",10,4.096,1.41001088773721
"Zoropsis",10,1.58,0.457424847038875
"Zoropsis",10,1.51,0.412109650826833
"Zoropsis",10,3.112,1.13526560631615
"Zoropsis",10,1.417,0.348541960708543
"Zoropsis",10,2.707,0.995841010632164
"Zoropsis",10,2.637,0.96964190737115
"Zoropsis",10,1.611,0.476855104194837
"Zoropsis",11,5.112,1.63159071707523
"Zoropsis",11,4.477,1.49895317925883
"Zoropsis",11,5.237,1.65574881529735
"Zoropsis",11,5.912,1.7769841836459
"Zoropsis",11,4.925,1.59432427462405
"Zoropsis",11,3.344,1.20716769522246
"Zoropsis",11,3.963,1.3770013142083
"Zoropsis",11,6.02,1.79508725932073
"Zoropsis",11,5.765,1.75180515372102
"Zoropsis",11,4.808,1.57028119723291
"Zoropsis",12,3.163,1.15152094432351
"Zoropsis",12,4.448,1.49245455694828
"Zoropsis",12,2.61,0.959350221334602
"Zoropsis",12,3.553,1.26779231703889
"Zoropsis",12,3.464,1.24242399070019
"Zoropsis",12,2.487,0.911077164821268
"Zoropsis",12,2.195,0.786182046527135
"Zoropsis",12,2.237,0.805135682507993
"Zoropsis",12,3.611,1.28398474229532
"Zoropsis",12,3.041,1.11218640869523
